DATE,COUNT
2016-08-22,95.0
2016-08-23,86.0
2016-08-24,96.0
2016-08-25,88.0
2016-08-26,61.0
2016-08-27,48.0
2016-08-28,43.0
2016-08-29,71.0
2016-08-30,68.0
2016-08-31,110.0
2016-09-01,92.0
2016-09-02,93.0
2016-09-03,46.0
2016-09-04,42.0
2016-09-05,89.0
2016-09-06,82.0
2016-09-07,83.0
2016-09-08,93.0
2016-09-09,70.0
2016-09-10,40.0
2016-09-11,41.0
2016-09-12,60.0
2016-09-13,57.0
2016-09-14,62.0
2016-09-15,62.0
2016-09-16,67.0
2016-09-17,54.0
2016-09-18,40.0
2016-09-19,64.0
2016-09-20,59.0
2016-09-21,53.0
2016-09-22,42.0
2016-09-23,45.0
2016-09-24,29.0
2016-09-25,60.0
2016-09-26,73.0
2016-09-27,61.0
2016-09-28,61.0
2016-09-29,57.0
2016-09-30,54.0
2016-10-01,46.0
2016-10-02,57.0
2016-10-03,51.0
2016-10-04,50.0
2016-10-05,76.0
2016-10-06,55.0
2016-10-07,33.0
2016-10-08,37.0
2016-10-09,30.0
2016-10-10,46.0
2016-10-11,30.0
2016-10-12,38.0
2016-10-13,81.0
2016-10-14,80.0
2016-10-15,57.0
2016-10-16,46.0
2016-10-17,62.0
2016-10-18,70.0
2016-10-19,74.0
2016-10-20,62.0
2016-10-21,27.0
2016-10-22,41.0
2016-10-23,30.0
2016-10-24,30.0
2016-10-25,29.0
2016-10-26,33.0
2016-10-27,30.0
2016-10-28,26.0
2016-10-29,30.0
2016-10-30,42.0
2016-10-31,48.0
2016-11-01,213.0
2016-11-02,155.0
2016-11-03,116.0
2016-11-04,173.0
2016-11-05,84.0
2016-11-06,59.0
2016-11-07,63.0
2016-11-08,76.0
2016-11-09,50.0
2016-11-10,58.0
2016-11-11,52.0
2016-11-12,54.0
2016-11-13,34.0
2016-11-14,52.0
2016-11-15,62.0
2016-11-16,60.0
2016-11-17,52.0
2016-11-18,58.0
2016-11-19,61.0
2016-11-20,57.0
2016-11-21,66.0
2016-11-22,98.0
2016-11-23,434.0
2016-11-24,392.0
2016-11-25,380.0
2016-11-26,274.0
2016-11-27,277.0
2016-11-28,428.0
2016-11-29,340.0
2016-11-30,131.0
2016-12-01,121.0
2016-12-02,108.0
2016-12-03,93.0
2016-12-04,93.0
2016-12-05,102.0
2016-12-06,108.0
2016-12-07,101.0
2016-12-08,94.0
2016-12-09,104.0
2016-12-10,103.0
2016-12-11,108.0
2016-12-12,115.0
2016-12-13,311.0
2016-12-14,363.0
2016-12-15,246.0
2016-12-16,156.0
2016-12-17,127.0
2016-12-18,112.0
2016-12-19,148.0
2016-12-20,167.0
2016-12-21,128.0
2016-12-22,113.0
2016-12-23,105.0
2016-12-24,90.0
2016-12-25,106.0
2016-12-26,124.0
2016-12-27,148.0
2016-12-28,155.0
2016-12-29,152.0
2016-12-30,185.0
2016-12-31,236.0
2017-01-01,233.0
2017-01-02,340.0
2017-01-03,349.0
2017-01-04,308.0
2017-01-05,318.0
2017-01-06,263.0
2017-01-07,270.0
2017-01-08,221.0
2017-01-09,266.0
2017-01-10,257.0
2017-01-11,282.0
2017-01-12,271.0
2017-01-13,259.0
2017-01-14,212.0
2017-01-15,209.0
2017-01-16,232.0
2017-01-17,232.0
2017-01-18,243.0
2017-01-19,194.0
2017-01-20,196.0
2017-01-21,188.0
2017-01-22,179.0
2017-01-23,209.0
2017-01-24,220.0
2017-01-25,197.0
2017-01-26,198.0
2017-01-27,192.0
